Expo	Gaus	Uniform	Bimodal								Expo	Gaus	Uniform	Bimodal			Expo	Gaus	Uniform	Bimodal
0.00834	0.00087	0.00375	0.00309								-6.908181	-10.587193	-8.068869	-8.343189			0.002444	0.420495	0.009974	0.005011
0.00839	0.00091	0.00391	0.00328								-6.899589	-10.446837	-8.002367	-8.264218			0.002475	0.344991	0.003751	0.012129
0.0079	0.00107	0.00364	0.00383								-6.984259	-9.885409	-8.114589	-8.035618			0.000327	0.017235	0.012743	0.007178
0.00794	0.00106	0.00426	0.00376								-6.976921	-9.920499	-7.880904	-8.064713			0.000276	0.038779	0.005973	0.009661
0.0079	0.001	0.00381	0.00358								-6.984259	-10.131033	-8.043931	-8.139527			0.000327	0.165249	0.007936	0.013701
0.00814	0.00107	0.00347	0.00398								-6.942551	-9.885409	-8.185247	-7.973272			0.001795	0.017235	0.014399	0.000257
0.00772	0.0011	0.00368	0.00411								-7.019508	-9.837808	-8.097964	-7.928862			0.002325	0.009527	0.011885	0.002216
0.0075	0.00125	0.00404	0.00416								-7.06259	-9.694533	-7.951242	-7.912876			0.003696	0.050676	-0.000186	0.003675
0.00731	0.00139	0.00404	0.00472								-7.099798	-9.560811	-7.951242	-7.733833			0.003885	0.07011	-0.000186	0.006836
0.00741	0.00129	0.00392	0.00513								-7.080214	-9.656327	-7.99821	-7.610744			0.003904	0.057914	0.00328	0.003919
0.007	0.00129	0.00392	0.00493								-7.160504	-9.656327	-7.99821	-7.666693			0.002075	0.057914	0.00328	0.002496
0.00681	0.00158	0.00397	0.00567								-7.201403	-9.37933	-7.977428	-7.468309			0.003273	0.07347	0.000783	0.005874
0.00684	0.00153	0.0041	0.00521								-7.194689	-9.427088	-7.93206	-7.589643			0.002901	0.074835	0.001899	0.005142
0.00677	0.0017	0.00416	0.00553								-7.210355	-9.26471	-7.912876	-7.505237			0.003726	0.06446	0.003675	0.006732
0.0067	0.00192	0.00392	0.00544								-7.226021	-9.054574	-7.99821	-7.528976			0.004398	0.029896	0.00328	0.006798
0.00624	0.00196	0.00397	0.00578								-7.328971	-9.016367	-7.977428	-7.439294			0.004733	0.021437	0.000783	0.004579
0.00612	0.00198	0.00392	0.0062								-7.355827	-8.997265	-7.99821	-7.337923			0.003574	0.016981	0.00328	0.004407
0.00574	0.00201	0.00435	0.00577								-7.449845	-8.968609	-7.852129	-7.441932			0.005112	0.01002	0.00736	0.004719
0.00612	0.00221	0.00363	0.0064								-7.355827	-8.837107	-8.118745	-7.293162			0.003574	0.015368	0.01293	0.00545
0.00654	0.00221	0.00412	0.00654								-7.261829	-8.837107	-7.925665	-7.261829			0.005336	0.015368	0.002525	0.005336
0.00602	0.00238	0.00426	0.00699								-7.378207	-8.739953	-7.880904	-7.162463			0.002186	0.025129	0.005973	0.001971
0.00572	0.00295	0.00407	0.0069								-7.455121	-8.414198	-7.941651	-7.18126			0.005352	0.009129	0.000896	0.002072
0.00527	0.00251	0.00402	0.00683								-7.573816	-8.665657	-7.957637	-7.196927			0.005836	0.02756	-0.000951	0.003028
0.00531	0.00268	0.00393	0.00687								-7.563266	-8.568503	-7.994054	-7.187974			0.006193	0.024951	0.0028	0.0025
0.00506	0.00279	0.00363	0.00686								-7.629208	-8.505639	-8.118745	-7.190212			0.002561	0.020119	0.01293	0.002636
0.00521	0.00299	0.00389	0.00698								-7.589643	-8.391339	-8.01068	-7.164421			0.005142	0.005699	0.004665	0.001864
0.00561	0.00291	0.00364	0.00747								-7.484135	-8.437058	-8.114589	-7.068465			0.006351	0.012293	0.012743	0.003789
0.00505	0.00344	0.00366	0.00795								-7.631846	-8.197716	-8.106276	-6.975202			0.002345	0.01434	0.012335	0.000373
0.00468	0.00328	0.00392	0.00781								-7.746622	-8.264218	-7.99821	-7.001883			0.007347	0.012129	0.00328	0.001422
0.00486	0.00382	0.00375	0.00748								-7.689073	-8.039774	-8.068869	-7.066506			0.004245	0.007563	0.009974	0.00376
0.00458	0.00398	0.00386	0.0078								-7.778594	-7.973272	-8.023149	-7.003842			0.008157	0.000257	0.005965	0.001532
0.00456	0.00378	0.00366	0.00745								-7.784988	-8.0564	-8.106276	-7.072382			0.008238	0.009001	0.012335	0.003838
0.00473	0.00371	0.00397	0.00769								-7.730636	-8.085494	-7.977428	-7.025382			0.006692	0.011128	0.000783	0.002582
0.00429	0.00368	0.00406	0.00797								-7.871313	-8.097964	-7.944849	-6.971765			0.006506	0.011885	0.000544	0.000561
0.00441	0.00421	0.00376	0.00766								-7.832947	-7.896891	-8.064713	-7.031258			0.007941	0.004927	0.009661	0.002818
0.00452	0.00472	0.00395	0.00788								-7.797777	-7.733833	-7.985742	-6.988175			0.008316	0.006836	0.00181	0.000587
0.00407	0.00439	0.00385	0.00796								-7.941651	-7.839341	-8.027306	-6.973484			0.000896	0.007778	0.006379	0.000468
0.00414	0.00494	0.00415	0.00785								-7.919271	-7.663495	-7.916074	-6.99405			0.003118	0.002222	0.003401	0.000958
0.00421	0.00436	0.00415	0.00772								-7.896891	-7.848932	-7.916074	-7.019508			0.004927	0.007476	0.003401	0.002325
0.004	0.00541	0.00411	0.00763								-7.96496	-7.536889	-7.928862	-7.037133			-0.000825	0.006733	0.002216	0.003031
0.00392	0.00518	0.00362	0.00816								-7.99821	-7.597556	-8.122901	-6.939115			0.00328	0.004723	0.013106	0.001899
0.00358	0.00544	0.00389	0.00768								-8.139527	-7.528976	-8.01068	-7.027341			0.013701	0.006798	0.004665	0.002663
0.00372	0.00542	0.00354	0.00777								-8.081338	-7.534251	-8.156153	-7.009716			0.010856	0.00676	0.014118	0.001847
0.00372	0.00556	0.00384	0.00764								-8.081338	-7.497323	-8.031462	-7.035174			0.010856	0.006624	0.006783	0.002963
0.00377	0.00596	0.00421	0.00764								-8.060557	-7.391816	-7.896891	-7.035174			0.009336	0.001344	0.004927	0.002963
0.00334	0.00602	0.00381	0.00722								-8.239279	-7.378207	-8.043931	-7.117422			0.013343	0.002186	0.007936	0.003637
0.00368	0.006	0.004	0.00688								-8.097964	-7.382684	-7.96496	-7.185737			0.011885	0.001862	-0.000825	0.002361
0.00369	0.00669	0.00363	0.00692								-8.093808	-7.228259	-8.118745	-7.176784			0.011643	0.004481	0.01293	0.001772
0.00325	0.00654	0.00375	0.00654								-8.276687	-7.261829	-8.068869	-7.261829			0.011342	0.005336	0.009974	0.005336
0.00337	0.00631	0.00397	0.00695								-8.226811	-7.313304	-7.977428	-7.170296			0.013775	0.00516	0.000783	0.001524
0.0033	0.00699	0.00397	0.00625								-8.255906	-7.162463	-7.977428	-7.326733			0.012587	0.001971	0.000783	0.004805
0.00348	0.00705	0.00384	0.00668								-8.181091	-7.150712	-8.031462	-7.230497			0.014393	0.002552	0.006783	0.004561
0.00306	0.00711	0.00368	0.00599								-8.355657	-7.138963	-8.097964	-7.384922			0.003404	0.003029	0.011885	0.001693
0.00298	0.00766	0.00389	0.00574								-8.397053	-7.031258	-8.01068	-7.449845			0.00658	0.002818	0.004665	0.005112
0.00294	0.00727	0.00399	0.00596								-8.419914	-7.107631	-7.969116	-7.391816			0.009945	0.003802	-0.000279	0.001344
0.003	0.00723	0.00382	0.00591								-8.385623	-7.115464	-8.039774	-7.405004			0.004801	0.003675	0.007563	0.002378
0.00284	0.00748	0.00379	0.00537								-8.477063	-7.066506	-8.052244	-7.54744			0.017169	0.00376	0.008657	0.006577
0.0024	0.00796	0.00362	0.0055								-8.728522	-6.973484	-8.122901	-7.51315			0.025771	0.000468	0.013106	0.006797
0.00264	0.00799	0.00402	0.00498								-8.591362	-6.968328	-7.957637	-7.650706			0.026115	0.00074	-0.000951	0.001068
0.00261	0.00845	0.00359	0.00475								-8.608508	-6.889278	-8.135371	-7.724242			0.026772	0.002445	0.01357	0.006385
0.00259	0.00834	0.00379	0.0047								-8.619938	-6.908181	-8.052244	-7.740228			0.027105	0.002444	0.008657	0.007104
0.00286	0.00869	0.00387	0.00435								-8.465634	-6.848034	-8.018993	-7.852129			0.015864	0.001606	0.005542	0.00736
0.00242	0.00875	0.00359	0.00432								-8.717093	-6.837723	-8.135371	-7.861721			0.026316	0.001221	0.01357	0.006968
0.00253	0.00819	0.00417	0.0041								-8.654228	-6.933959	-7.909679	-7.93206			0.02758	0.002038	0.003942	0.001899
0.00244	0.00885	0.00361	0.004								-8.705663	-6.820538	-8.127058	-7.96496			0.02676	0.000431	0.013273	-0.000825
0.0026	0.00907	0.00359	0.00398								-8.614223	-6.786193	-8.135371	-7.973272			0.02695	0.001511	0.01357	0.000257
0.00234	0.00918	0.0042	0.00366								-8.762812	-6.769487	-7.900087	-8.106276			0.023536	0.002197	0.004692	0.012335
0.00223	0.00969	0.00396	0.00364								-8.825677	-6.692036	-7.981585	-8.114589			0.016936	0.002748	0.001302	0.012743
0.00227	0.00926	0.00435	0.00369								-8.802817	-6.757338	-7.852129	-8.093808			0.019724	0.002566	0.00736	0.011643
0.00208	0.00969	0.00402	0.00321								-8.911402	-6.692036	-7.957637	-8.293313			0.002201	0.002748	-0.000951	0.010101
0.00205	0.00947	0.00385	0.00313								-8.930403	-6.725446	-8.027306	-8.326563			0.000242	0.003026	0.006379	0.006942
0.0022	0.01003	0.00405	0.00334								-8.842823	-6.642269	-7.948046	-8.239279			0.014542	0.002734	0.000183	0.013343
0.00217	0.01047	0.00394	0.00267								-8.859968	-6.580723	-7.989898	-8.574217			0.011878	0.003128	0.002309	0.025272
0.00196	0.01022	0.0039	0.00306								-9.016367	-6.615692	-8.006524	-8.355657			0.021437	0.003231	0.004213	0.003404
0.00175	0.00982	0.00398	0.00273								-9.216952	-6.672292	-7.973272	-8.539928			0.058522	0.002231	0.000257	0.023044
0.00192	0.01011	0.00398	0.00246								-9.054574	-6.631079	-7.973272	-8.694232			0.029896	0.003006	0.000257	0.027105
0.00196	0.0101	0.00367	0.00269								-9.016367	-6.632477	-8.10212	-8.562788			0.021437	0.002976	0.012115	0.02461
0.00174	0.00993	0.00381	0.00257								-9.226504	-6.656256	-8.043931	-8.631368			0.059806	0.002265	0.007936	0.027351
0.00213	0.01024	0.00391	0.00259								-8.882826	-6.612895	-8.002367	-8.619938			0.007895	0.003254	0.003751	0.027105
0.00175	0.00986	0.00404	0.0024								-9.216952	-6.666218	-7.951242	-8.728522			0.058522	0.002021	-0.000186	0.025771
0.00188	0.00941	0.00384	0.00228								-9.092781	-6.734558	-8.031462	-8.797102			0.037728	0.002969	0.006783	0.020351
0.0017	0.00999	0.00421	0.00205								-9.26471	-6.647863	-7.896891	-8.930403			0.06446	0.002564	0.004927	0.000242
0.00182	0.01037	0.00391	0.00212								-9.150091	-6.59471	-8.002367	-8.888542			0.048244	0.00327	0.003751	0.006822
0.00172	0.01036	0.00376	0.00193								-9.245607	-6.596109	-8.064713	-9.045022			0.062231	0.003277	0.009661	0.027839
0.00149	0.01056	0.00421	0.00196								-9.465294	-6.568133	-7.896891	-9.016367			0.074821	0.002887	0.004927	0.021437
0.00148	0.01061	0.00392	0.00233								-9.474845	-6.56114	-7.99821	-8.768527			0.074657	0.002708	0.00328	0.023072
0.00142	0.01039	0.00321	0.00201								-9.532155	-6.591913	-8.293313	-8.968609			0.072262	0.003253	0.010101	0.01002
0.00158	0.01107	0.00372	0.00228								-9.37933	-6.499414	-8.081338	-8.797102			0.07347	0.002213	0.010856	0.020351
0.00176	0.00973	0.00408	0.00224								-9.2074	-6.685961	-7.938454	-8.819962			0.05719	0.002616	0.001239	0.017676
0.00164	0.00991	0.00345	0.00244								-9.32202	-6.659054	-8.19356	-8.705663			0.069931	0.002155	0.014372	0.02676
0.00159	0.01041	0.00402	0.00195								-9.369778	-6.589115	-7.957637	-9.025919			0.07302	0.003229	-0.000951	0.023609
0.00155	0.00993	0.00353	0.00226								-9.407984	-6.656256	-8.160309	-8.808532			0.074468	0.002265	0.014194	0.019071
0.00146	0.01065	0.00407	0.00238								-9.493948	-6.555545	-7.941651	-8.739953			0.074132	0.002542	0.000896	0.025129
0.00109	0.00977	0.00427	0.00244								-9.847359	-6.679886	-7.877707	-8.705663			0.005902	0.00246	0.006159	0.02676
0.00128	0.00992	0.00351	0.00249								-9.665878	-6.657655	-8.168622	-8.677087			0.056236	0.00221	0.014308	0.027449
0.00105	0.01015	0.00384	0.00259								-9.955588	-6.625483	-8.031462	-8.619938			0.060192	0.003107	0.006783	0.027105
0.00112	0.00983	0.00412	0.00261								-9.818703	-6.670774	-7.925665	-8.608508			0.016418	0.002181	0.002525	0.026772
0.00121	0.00944	0.00365	0.00291								-9.732739	-6.730002	-8.110432	-8.437058			0.041962	0.003005	0.012544	0.012293
0.00119	0.01	0.00369	0.00294								-9.751843	-6.646465	-8.093808	-8.419914			0.03702	0.002609	0.011643	0.009945
0.00134	0.01022	0.00372	0.00296								-9.608569	-6.615692	-8.081338	-8.408483			0.065017	0.003231	0.010856	0.008295
0.00118	0.00968	0.00367	0.00319								-9.761394	-6.693554	-8.10212	-8.301625			0.034396	0.002777	0.012115	0.009397
0.00111	0.00989	0.00385	0.00344								-9.828255	-6.661851	-8.027306	-8.197716			0.01303	0.002038	0.006379	0.01434
0.00108	0.00982	0.00362	0.00352								-9.85691	-6.672292	-8.122901	-8.164465			0.002156	0.002231	0.013106	0.014256
0.00112	0.00901	0.00387	0.00344								-9.818703	-6.795305	-8.018993	-8.197716			0.016418	0.001048	0.005542	0.01434
0.00114	0.00942	0.00371	0.00362								-9.799601	-6.733039	-8.085494	-8.122901			0.02285	0.002982	0.011128	0.013106
0.00119	0.00904	0.00383	0.00399								-9.751843	-6.790749	-8.035618	-7.969116			0.03702	0.001287	0.007178	-0.000279
0.00106	0.00957	0.00413	0.00405								-9.920499	-6.710259	-7.922468	-7.948046			0.038779	0.002994	0.002825	0.000183
0.00111	0.00937	0.00391	0.00429								-9.828255	-6.740633	-8.002367	-7.871313			0.01303	0.002897	0.003751	0.006506
0.00094	0.00869	0.00371	0.00433								-10.341569	-6.848034	-8.085494	-7.858524			0.286517	0.001606	0.011128	0.007107
0.00081	0.00908	0.00374	0.00475								-10.797729	-6.784674	-8.073025	-7.724242			0.527938	0.001582	0.010279	0.006385
0.00103	0.00818	0.00401	0.00463								-10.025766	-6.935677	-7.960834	-7.762609			0.102626	0.001994	-0.001348	0.007836
0.00096	0.00834	0.00374	0.00481								-10.271391	-6.908181	-8.073025	-7.705059			0.246713	0.002444	0.010279	0.005311
0.00081	0.0083	0.00385	0.00442								-10.797729	-6.915055	-8.027306	-7.829749			0.527938	0.002382	0.006379	0.008011
0.00099	0.00786	0.00381	0.00529								-10.166124	-6.992092	-8.043931	-7.568541			0.18584	0.000837	0.007936	0.006024
0.00112	0.00824	0.00395	0.00518								-9.818703	-6.925366	-7.985742	-7.597556			0.016418	0.002226	0.00181	0.004723
0.00099	0.00828	0.00393	0.00499								-10.166124	-6.918492	-7.994054	-7.647672			0.18584	0.002338	0.0028	0.000927
0.00073	0.00772	0.00388	0.00602								-11.078442	-7.019508	-8.014837	-7.378207			0.658626	0.002325	0.005109	0.002186
0.00081	0.00737	0.00427	0.00579								-10.797729	-7.088048	-7.877707	-7.436657			0.527938	0.003929	0.006159	0.004436
0.00082	0.00732	0.00401	0.00605								-10.762639	-7.097839	-7.960834	-7.371493			0.51055	0.003899	-0.001348	0.002644
0.00073	0.00714	0.00405	0.0066								-11.078442	-7.133089	-7.948046	-7.248402			0.658626	0.003229	0.000183	0.005084
0.00077	0.00759	0.00365	0.00574								-10.938086	-7.044966	-8.110432	-7.449845			0.595231	0.003281	0.012544	0.005112
0.00091	0.00651	0.00346	0.00653								-10.446837	-7.268543	-8.189404	-7.264068			0.344991	0.005417	0.014391	0.005366
0.00068	0.00677	0.00394	0.0069								-11.253889	-7.210355	-7.989898	-7.18126			0.73171	0.003726	0.002309	0.002072
0.00089	0.00607	0.00387	0.00643								-10.517015	-7.367017	-8.018993	-7.286448			0.383107	0.002929	0.005542	0.005483
0.00067	0.00632	0.0036	0.00726								-11.288978	-7.311066	-8.131215	-7.109589			0.745426	0.005207	0.013427	0.003774
0.00069	0.00584	0.00386	0.00735								-11.218799	-7.423468	-8.023149	-7.091965			0.717683	0.003652	0.005965	0.003925
0.00076	0.00592	0.00429	0.00721								-10.973176	-7.402367	-7.871313	-7.11938			0.611462	0.00218	0.006506	0.003595
0.00072	0.00576	0.00371	0.00718								-11.113532	-7.44457	-8.085494	-7.125256			0.673816	0.004854	0.011128	0.003456
0.00078	0.00552	0.0038	0.00779								-10.902997	-7.507874	-8.048088	-7.0058			0.578758	0.006758	0.008302	0.00164
0.00067	0.00578	0.00389	0.00683								-11.288978	-7.439294	-8.01068	-7.196927			0.745426	0.004579	0.004665	0.003028
0.00075	0.00545	0.00386	0.00747								-11.008264	-7.526338	-8.023149	-7.068465			0.627441	0.00681	0.005965	0.003789
0.00076	0.00534	0.00391	0.00755								-10.973176	-7.555353	-8.002367	-7.052798			0.611462	0.006409	0.003751	0.003491
0.00062	0.0046	0.00449	0.00774								-11.464424	-7.7722	-7.807369	-7.015592			0.808979	0.008049	0.0083	0.002141
0.00071	0.0047	0.00398	0.00741								-11.148621	-7.740228	-7.973272	-7.080214			0.688727	0.007104	0.000257	0.003904
0.00077	0.00449	0.00374	0.00778								-10.938086	-7.807369	-8.073025	-7.007758			0.595231	0.0083	0.010279	0.001744
0.00044	0.00467	0.00402	0.00752								-12.09603	-7.74982	-7.957637	-7.058673			0.94582	0.007458	-0.000951	0.003622
0.00044	0.00456	0.00366	0.00764								-12.09603	-7.784988	-8.106276	-7.035174			0.94582	0.008238	0.012335	0.002963
0.0005	0.00443	0.00389	0.00778								-11.885494	-7.826552	-8.01068	-7.007758			0.919709	0.008074	0.004665	0.001744
0.00058	0.00413	0.00384	0.00804								-11.604781	-7.922468	-8.031462	-6.959736			0.853121	0.002825	0.006783	0.001147
0.0006	0.00402	0.00396	0.00756								-11.534602	-7.957637	-7.981585	-7.05084			0.831851	-0.000951	0.001302	0.003442
0.00086	0.00377	0.00399	0.00753								-10.622282	-8.060557	-7.969116	-7.056715			0.438907	0.009336	-0.000279	0.003581
0.00072	0.00338	0.00362	0.00717								-11.113532	-8.222655	-8.122901	-7.127213			0.673816	0.013893	0.013106	0.003403
0.00059	0.00352	0.00424	0.0073								-11.569691	-8.164465	-7.887299	-7.101756			0.842693	0.014256	0.005579	0.003868
0.00047	0.00344	0.00374	0.00733								-11.990762	-8.197716	-8.073025	-7.09588			0.93571	0.01434	0.010279	0.00391
0.00036	0.00325	0.00425	0.00746								-12.376744	-8.276687	-7.884101	-7.070423			0.937028	0.011342	0.00578	0.003814
0.00048	0.00348	0.00379	0.00707								-11.955673	-8.181091	-8.052244	-7.146796			0.930994	0.014393	0.008657	0.002722
0.00046	0.00299	0.00393	0.00733								-12.025851	-8.391339	-7.994054	-7.09588			0.939772	0.005699	0.0028	0.00391
0.00048	0.00274	0.00403	0.00747								-11.955673	-8.534213	-7.95444	-7.068465			0.930994	0.022604	-0.000565	0.003789
0.00043	0.00264	0.00409	0.00749								-12.131119	-8.591362	-7.935257	-7.064548			0.947743	0.026115	0.001574	0.00373
0.00059	0.00264	0.004	0.00667								-11.569691	-8.591362	-7.96496	-7.232735			0.842693	0.026115	-0.000825	0.004637
0.00039	0.00269	0.00422	0.0069								-12.271477	-8.562788	-7.893693	-7.18126			0.947239	0.02461	0.005152	0.002072
0.00045	0.00222	0.00408	0.0063								-12.06094	-8.831393	-7.938454	-7.315542			0.943152	0.016168	0.001239	0.005109
0.0006	0.00203	0.00403	0.00628								-11.534602	-8.949506	-7.95444	-7.320019			0.831851	0.005201	-0.000565	0.004999
0.00051	0.00189	0.00389	0.00659								-11.850405	-9.08323	-8.01068	-7.250639			0.91319	0.03583	0.004665	0.005134
0.00038	0.00196	0.00383	0.00651								-12.306566	-9.016367	-8.035618	-7.268543			0.944852	0.021437	0.007178	0.005417
0.00031	0.0021	0.00395	0.00594								-12.552189	-8.899972	-7.985742	-7.397091			0.896745	0.004577	0.00181	0.00177
0.00041	0.00202	0.00399	0.00594								-12.201297	-8.959058	-7.969116	-7.397091			0.949208	0.007629	-0.000279	0.00177
0.00052	0.0018	0.0042	0.00607								-11.815316	-9.169194	-7.900087	-7.367017			0.906115	0.051406	0.004692	0.002929
0.00039	0.00171	0.00366	0.00521								-12.271477	-9.255158	-8.106276	-7.589643			0.947239	0.06337	0.012335	0.005142
0.00034	0.00149	0.00409	0.00546								-12.446922	-9.465294	-7.935257	-7.523701			0.924744	0.074821	0.001574	0.006817
0.00039	0.00167	0.00369	0.00525								-12.271477	-9.293365	-8.093808	-7.579092			0.947239	0.067429	0.011643	0.005625
0.0004	0.00156	0.00402	0.00507								-12.236387	-9.398432	-7.957637	-7.62657			0.948674	0.074194	-0.000951	0.002772
0.00032	0.0014	0.00394	0.00495								-12.5171	-9.551259	-7.989898	-7.660298			0.907458	0.070901	0.002309	0.001942
0.00044	0.00142	0.00396	0.0043								-12.09603	-9.532155	-7.981585	-7.868115			0.94582	0.072262	0.001302	0.006668
0.00043	0.00132	0.00365	0.00472								-12.131119	-9.627672	-8.110432	-7.733833			0.947743	0.062425	0.012544	0.006836
0.00028	0.00119	0.004	0.00411								-12.657457	-9.751843	-7.96496	-7.928862			0.85517	0.03702	-0.000825	0.002216
0.00024	0.00114	0.00389	0.00398								-12.797814	-9.799601	-8.01068	-7.973272			0.773136	0.02285	0.004665	0.000257
0.00037	0.00106	0.00413	0.00389								-12.341654	-9.920499	-7.922468	-8.01068			0.941466	0.038779	0.002825	0.004665
0.00034	0.00102	0.00392	0.00355								-12.446922	-10.060855	-7.99821	-8.151996			0.924744	0.12364	0.00328	0.01403
0.00027	0.00105	0.00404	0.00346								-12.692546	-9.955588	-7.951242	-8.189404			0.837792	0.060192	-0.000186	0.014391
0.00024	0.00097	0.00389	0.00331								-12.797814	-10.236302	-8.01068	-8.251749			0.773136	0.226574	0.004665	0.012795
0.00023	0.00074	0.00407	0.00297								-12.832903	-11.043353	-7.941651	-8.402769			0.746825	0.643165	0.000896	0.007446
0.00029	0.00076	0.00356	0.00304								-12.622367	-10.973176	-8.14784	-8.36397			0.870707	0.611462	0.013932	0.002256
0.0002	0.0008	0.00398	0.00272								-12.938171	-10.832818	-7.973272	-8.545643			0.650458	0.545106	0.000257	0.023465
